DBInstanceIdentifier,DBInstanceStatus,DBName,DBInstanceClass,Cost Center,Creation Date,IDMD No,Organization,Environment,Database Platform,Multi AZ Deployment
aadev,available,AADEV,db.m4.large,15020000,1/19/2018,IDMD0003338,Commercial IT,Development,oracle-ee,FALSE
aadirdev,available,AADIRDEV,db.t2.small,15020000,1/19/2018,IDMD0003338,Commercial IT,Development,oracle-ee,FALSE
almppd,available,ALMPPD,db.m4.large,NA,12/13/2017,NA,Software Shared Services,Pre Production,postgres,FALSE
almprod,available,ALMPROD,db.m4.large,NA,12/22/2017,NA,Software Shared Services,Production,postgres,TRUE
bidev,available,BIDEV,db.m4.2xlarge,6807,11/24/2016,IDMD0002402,Enabling Units,Development,oracle-ee,FALSE
borepdev,available,BOREPDEV,db.t2.small,15020000,1/19/2018,IDMD0003338,Commercial IT,Development,oracle-ee,FALSE
de-dwh-dev-01,available,DWHDEV01,db.m4.large,6807,08/16/2016,Cognos,Commercial IT,Development,oracle-ee,FALSE
de-dwh-dev-02,available,DWHDEV02,db.m4.large,6807,08/29/2016,Cognos,Commercial IT,Development,oracle-ee,FALSE
de-dwh-dev-cs,available,DWHDEVCS,db.m4.large,NA,9/16/2016,Cognos,Commercial IT,NA,oracle-ee,FALSE
de-dwh-prd-01,available,DWHPRD01,db.m4.2xlarge,6807,08/30/2016,Cognos,Commercial IT,Production,oracle-ee,FALSE
de-dwh-prd-02,available,DWHPRD02,db.m4.2xlarge,6807,08/30/2016,Cognos,Commercial IT,Production,oracle-ee,FALSE
de-dwh-prd-cs,available,DWHPRDCS,db.m4.2xlarge,6807,08/30/2016,Cognos,Commercial IT,Production,oracle-ee,FALSE
emprtsit,available,EMPRTSIT,db.r3.4xlarge,6470,12/08/2017,IDMD0003976 ,Enabling Units,Test,oracle-ee,TRUE
epmdev,available,EPMDEV,db.m4.2xlarge,6807,11/01/2016,IDMD0002104,Enabling Units,Development,oracle-ee,FALSE
epmpprd,available,EPMPPRD,db.r3.4xlarge,6807,03/14/2017,IDMD0002723,Enabling Units,Pre-production,oracle-ee,TRUE
epmprd,available,EPMPRD,db.r3.4xlarge,6807,05/05/2017,IDMD0002924,Enabling Units,Production,oracle-ee,TRUE
epmrptpprd,available,EPMRPPRD,db.r3.4xlarge,6807,03/23/2017,IDMD0002724,NA,PreProduction,oracle-ee,TRUE
epmrptprd,available,EPMRTPRD,db.r3.4xlarge,6807,05/05/2017,IDMD0002924,Enabling Units,Production,oracle-ee,TRUE
epmsit,available,EPMSIT,db.r3.4xlarge,6470,12/08/2017,IDMD0003976 ,Enabling Units,Test,oracle-ee,TRUE
erstudio,available,ERSTUDIO,db.m4.large,6807,10/11/2016,IDMD0001756,Enabling Units,Production,oracle-ee,FALSE
etmf-int-dev,available,ETMF_INT_DEV,db.t2.medium,K3198831,10/10/2017,NA,R@D,Development,postgres,FALSE
etmf-int-prd,available,ETMF_INT_PRD,db.t2.medium,NA,11/22/2017,NA,R@D,Production,postgres,FALSE
etmf-int-test,available,ETMF_INT_TEST,db.t2.medium,K3198831,1/18/2018,NA,R@D,Test,postgres,FALSE
etmf-int-uat,available,ETMF_INT_UAT,db.t2.medium,NA,11/22/2017,IDMD0003460,R@D,Pre Production,postgres,FALSE
gcsdev,available,GCSDEV,db.m4.2xlarge,6479,02/05/2018,IDMD0004646,Enabling Units,Development,oracle-ee,FALSE
gcssit,available,GCSSIT,db.m4.2xlarge,6479,20/06/2018,IDMD0005448,Enabling Units - Finance,GCS SIT environment,oracle-ee,FALSE
iecdbptdbdev1,available,IECDBPTDBDEV1,db.t2.large,6807,12/08/2017,IDMD0004247,Commercial IT,Development,postgres,FALSE
iecdbptdbprd1,available,IECDBPTDBPRD1,db.t2.large,NA,12/08/2017,IDMD0004247,Commercial IT,Production,postgres,FALSE
kaba,available,empty,db.m4.large,41105,NA,NA,SSIT CSIS,Production,sqlserver-se,FALSE
mktrdsdev,available,mktrdsdev,db.r3.2xlarge,NA,08/11/2017,IDMD0003705,Commercial IT,Development,postgres,FALSE
mktrdsprd,available,mktrdsdev,db.r3.2xlarge,NA,08/11/2017,IDMD0003705,Commercial IT,Development,postgres,FALSE
paasdev,available,PAASDEV,db.t2.medium,NA,12/18/2017,IDMD0004506,Software Shared Services,Development,postgres,FALSE
paaspre,available,PAASPRE,db.m4.large,6959,12/22/2017,IDMD0004506,Software Shared Services,Pre-Production,postgres,TRUE
paasprod,available,PAASPROD,db.m4.large,6959,12/22/2017,IDMD0004506,Software Shared Services,Production,postgres,TRUE
rave-replica-dev,available,RAVEDEV,db.m4.large,6807,12/16/2016,IDMD0002312,R@D,Development,oracle-ee,FALSE
rave-replica-pre,available,RAVEPRE,db.m4.large,6807,01/31/2017,IDMD0002312,R@D,Pre-Production,oracle-ee,FALSE
rave-replica-prod,available,RAVEPROD,db.m4.xlarge,6807,01/31/2017,IDMD0002312,R@D,Production,oracle-ee,FALSE
rddatahubdv,available,empty,db.m4.large,6869,NA,NA,SSS,Development,sqlserver-se,FALSE
rddatahubprod,available,empty,db.m4.large,6869,NA,NA,SSS,Production,sqlserver-se,TRUE
rddataprepd,available,empty,db.m4.large,6869,NA,NA,SSS,Pre Production,sqlserver-se,TRUE
retaincorpdev,available,empty,db.t2.medium,6807,NA,NA,NA,Development,sqlserver-se,FALSE
retaincorpprod,available,empty,db.t2.medium,6807,NA,NA,NA,Production,sqlserver-se,TRUE
rurepprd,available,RUREPPRD,db.m3.medium,15020000,01/12/2018,IDMD0003338,Commercial IT,Production,oracle-ee,FALSE
rurepsit,available,RUREPSIT,db.m3.medium,NA,01/09/2018,IDMD0003338,Commercial IT,Test,oracle-ee,FALSE
russprod,available,RUSSPROD,db.m4.2xlarge,15020000,01/12/2018,IDMD0003338,Commercial IT,Production,oracle-ee,TRUE
russsit,available,RUSSSIT,db.m4.xlarge,15020000,01/09/2018,IDMD0003338,NA,Test,oracle-ee,FALSE
set-dev,available,SET_DEV,db.t2.small,NA,9/20/2017,NA,R@D,NA,postgres,FALSE
set-ppd,available,SET_PPD,db.t2.large,NA,9/20/2017,NA,R@D,Pre-Production,postgres,FALSE
set-prd,available,SET_PRD,db.m4.large,4374,9/20/2017,NA,NA,Production,postgres,FALSE
set-test,available,SET_Test,db.m4.large,NA,9/20/2017,NA,R@D,Test,postgres,FALSE
ssdirprd,available,SSDIRPRD,db.m4.large,15020000,01/12/2018,IDMD0003338,Commercial IT,Production,oracle-ee,TRUE
ssdirsit,available,SSDIRSIT,db.m4.large,NA,01/09/2018,IDMD0003338,Commercial IT,Test,oracle-ee,FALSE
